,latitude,longitude,LSOA11CD
306,53.42991,-2.23937,E01005275
307,53.42861,-2.23894,E01005275
308,53.42835536941267,-2.23899508933881,E01005275
309,53.43006,-2.23868,E01005275
310,53.43174000000001,-2.23605,E01005275
311,53.4288,-2.23653,E01005275
312,53.42995,-2.23714,E01005275
313,53.42828000000001,-2.23817,E01005275
314,53.42855,-2.23741,E01005275
315,53.43005,-2.23822,E01005275
316,53.42791,-2.23824,E01005275
317,53.4286,-2.23896,E01005275
318,53.43036,-2.23605,E01005275
319,53.43021,-2.23552,E01005275
320,53.43057,-2.2351400000000003,E01005275
321,53.43056,-2.23426,E01005275
322,53.43169,-2.23569,E01005275
323,53.42963811050378,-2.239579468644344,E01005275
324,53.431105608330576,-2.2385455525006237,E01005275
325,53.42729235485032,-2.2355637442487297,E01005275
326,53.42838354167556,-2.2372542872549257,E01005275
327,53.42964,-2.23958,E01005275
328,53.43111,-2.23855,E01005275
329,53.42906,-2.24026,E01005275
330,53.43605,-2.22745,E01005273
331,53.43557,-2.22997,E01005273
332,53.43684,-2.22917,E01005273
333,53.4351,-2.23002,E01005273
334,53.43697,-2.22939,E01005273
335,53.43769671727732,-2.2321935254054224,E01005273
336,53.434693743488026,-2.2298863757374647,E01005273
337,53.43583839255255,-2.229262887563254,E01005273
338,53.43775356775701,-2.230999456565139,E01005273
339,53.48379,-2.23941,E01033658
340,53.48116,-2.2452,E01033658
341,53.48369,-2.2393400000000003,E01033658
342,53.4810607539122,-2.2420025732448403,E01033658
343,53.489145372545785,-2.239349406616143,E01033658
344,53.48279,-2.23866,E01033658
345,53.48223,-2.23876,E01033658
346,53.48356999999999,-2.24126,E01033658
347,53.482596735735406,-2.246505600704036,E01033658
348,53.4837,-2.23985,E01033658
349,53.48475,-2.23982,E01033658
350,53.48025,-2.24579,E01033658
351,53.47951,-2.24668,E01033658
352,53.48321,-2.23809,E01033658
353,53.48466,-2.24563,E01033658
354,53.48366,-2.2387900000000003,E01033658
355,53.48195,-2.24119,E01033658
356,53.48784000000001,-2.2437,E01033658
357,53.48184000000001,-2.23874,E01033658
358,53.48438,-2.24028,E01033658
359,53.481256225020026,-2.2436496842537568,E01033658
360,53.47923,-2.24676,E01033658
361,53.481946923721026,-2.241190710694848,E01033658
362,53.482386890749005,-2.2405036901854367,E01033658
363,53.481842147057954,-2.2387392341305685,E01033658
364,53.482333872776614,-2.239699317286325,E01033658
365,53.47876806584792,-2.2483312709237797,E01033658
366,53.483706146485936,-2.2387558498764144,E01033658
367,53.48011999999999,-2.24186,E01033658
368,53.48193000000001,-2.24318,E01033658
369,53.48372,-2.24088,E01033658
370,53.48285,-2.23908,E01033658
371,53.4812755438929,-2.2420513700695066,E01033658
372,53.48359,-2.23955,E01033658
373,53.48218895563385,-2.237771605695292,E01033658
374,53.481743147423536,-2.2480489052539347,E01033658
375,53.48417,-2.23971,E01033658
376,53.47996,-2.2484,E01033658
377,53.4822,-2.24792,E01033658
378,53.48391,-2.24693,E01033658
379,53.48106,-2.24346,E01033658
380,53.480051895711966,-2.2487452027937214,E01033658
381,53.48182230642824,-2.2436535235239705,E01033658
382,53.4837151582519,-2.238746840410456,E01033658
383,53.482124172531115,-2.2388419796996075,E01033658
384,53.47998902363807,-2.241439043341808,E01033658
385,53.481865670903304,-2.2420369180917032,E01033658
386,53.47964919735187,-2.2430039171099945,E01033658
387,53.483302130452174,-2.2386316127516817,E01033658
388,53.48166,-2.2429,E01033658
389,53.48167,-2.24342,E01033658
390,53.47999,-2.24307,E01033658
391,53.48138499589245,-2.2321919462636166,E01033653
392,53.48126,-2.23524,E01033653
393,53.48225357869147,-2.234690615824606,E01033653
394,53.47497561980396,-2.237744659797185,E01033653
395,53.48064,-2.23512,E01033653
396,53.48178000000001,-2.23571,E01033653
397,53.48181,-2.23405,E01033653
398,53.480880000000006,-2.23523,E01033653
399,53.48067,-2.23437,E01033653
400,53.4819,-2.2355,E01033653
401,53.48071911290992,-2.235287948400951,E01033653
402,53.48153865491204,-2.2331980906720634,E01033653
403,53.481805566470136,-2.234047194286934,E01033653
404,53.48072,-2.23529,E01033653
405,53.4816,-2.23529,E01033653
406,53.48228,-2.23328,E01033653
407,53.48121999999999,-2.23709,E01033653
408,53.48064,-2.2338400000000003,E01033653
409,53.48181,-2.23527,E01033653
410,53.48123,-2.23463,E01033653
411,53.48208,-2.23616,E01033653
412,53.47858564371366,-2.2375213316544,E01033653
413,53.48272839020305,-2.2343555676704026,E01033653
414,53.48273,-2.23436,E01033653
415,53.48064254453871,-2.2351194271718047,E01033653
416,53.482338960929354,-2.233954090085718,E01033653
417,53.481896246108256,-2.235496931130207,E01033653
418,53.48163,-2.2361,E01033653
419,53.4813105878181,-2.2349049209330527,E01033653
420,53.48201,-2.2363,E01033653
421,53.47617,-2.23758,E01033653
422,53.4762,-2.23656,E01033653
423,53.47476999999999,-2.23742,E01033653
424,53.47667,-2.23753,E01033653
425,53.48356,-2.23301,E01033653
426,53.48203,-2.23618,E01033653
427,53.47947596170927,-2.241063854800516,E01033653
428,53.48122411347071,-2.2334885215301363,E01033653
429,53.48008677659657,-2.2347550925669357,E01033653
430,53.481315859314186,-2.235825965506924,E01033653
431,53.47628,-2.23858,E01033653
432,53.48132,-2.23583,E01033653
433,53.48157,-2.23603,E01033653
434,53.4816,-2.23296,E01033653
435,53.48063000000001,-2.23467,E01033653
436,53.48017,-2.23299,E01033653
437,53.48103,-2.23484,E01033653
438,53.48206999999999,-2.23618,E01033653
439,53.4787,-2.23849,E01033653
440,53.47844,-2.23602,E01033653
441,53.48129,-2.2326900000000003,E01033653
442,53.47787,-2.24136,E01033653
443,53.48052,-2.23383,E01033653
444,53.48282,-2.23379,E01033653
445,53.48009,-2.23476,E01033653
446,53.47903,-2.23671,E01033653
447,53.4761,-2.23769,E01033653
448,53.4805864604693,-2.234342226096102,E01033653
449,53.47854,-2.24096,E01033653
450,53.478700430315286,-2.2384933787252588,E01033653
451,53.47589599826761,-2.2358113622487905,E01033653
452,53.476823947187604,-2.2393979323590116,E01033653
453,53.47567674222539,-2.237315639647552,E01033653
454,53.48102938896674,-2.2348420808675,E01033653
455,53.47691723893095,-2.237326648212677,E01033653
456,53.47714509406283,-2.2394541740579084,E01033653
457,53.47720674093713,-2.239421643548381,E01033653
458,53.48126848241504,-2.2342344648840062,E01033653
459,53.480464793499,-2.2345103734996785,E01033653
460,53.48145619211377,-2.2363294094691737,E01033653
461,53.48151460745085,-2.234616906813058,E01033653
462,53.47782586385622,-2.240416573638268,E01033653
463,53.48134828290067,-2.2336922789362883,E01033653
464,53.48110804140785,-2.2357971493574524,E01033653
465,53.482557805225326,-2.233232649024897,E01033653
466,53.47894,-2.23591,E01033653
467,53.48218000000001,-2.23489,E01033653
468,53.481730000000006,-2.23622,E01033653
469,53.47501,-2.23747,E01033653
470,53.47756999999999,-2.23892,E01033653
471,53.48123,-2.23206,E01033653
472,53.48036999999999,-2.23487,E01033653
473,53.47504,-2.23737,E01033653
474,53.48103,-2.23447,E01033653
475,53.47941,-2.23473,E01033653
